# BLASTP 2.17.0+
# Query: Unknown protein sequence
# Database: /Users/Q149596/development/workspaces/explorations/phyloproject/blastdb/tsr3_db
# Fields: subject acc., alignment length, % identity, gaps, score, bit score, evalue
# 502 hits found
90069_0:005432	254	61.024	11	744	324	7.21e-105
2585816_0:0022bc	241	65.975	4	737	321	7.31e-105
310915_0:000130	267	61.798	10	744	324	7.50e-105
144197_0:004f76	255	61.176	13	744	324	9.20e-105
885580_0:0040cb	203	75.862	5	730	318	9.32e-105
56716_0:003eb7	259	60.618	12	748	326	9.95e-105
8103_0:0041db	254	59.843	11	743	324	1.10e-104
481883_0:0035fc	216	70.370	3	741	323	1.12e-104
137246_0:001613	229	68.559	6	748	326	1.19e-104
237433_0:00079c	243	66.667	2	743	324	1.24e-104
47695_0:0022d0	210	70.000	1	736	321	1.29e-104
13013_0:0012af	255	62.745	7	744	324	1.38e-104
33581_0:002598	238	64.706	4	735	320	1.45e-104
1566151_0:0009a0	200	71.500	1	733	320	1.47e-104
2585812_0:0025da	235	65.957	1	736	321	1.51e-104
79633_0:00290f	199	74.874	1	735	320	1.54e-104
36300_0:00399e	231	66.667	6	738	322	1.87e-104
2546036_0:00447e	254	60.236	9	739	322	1.87e-104
1118560_0:0019a0	244	64.754	3	742	323	2.05e-104
337173_0:001f37	244	66.393	2	741	323	2.15e-104
33598_0:002c80	204	75.000	1	732	319	2.72e-104
121402_0:006182	259	61.776	24	733	320	2.74e-104
160734_0:0042cd	254	64.173	10	739	322	2.91e-104
259920_0:004b03	229	66.376	4	741	323	3.81e-104
720586_0:001db3	260	62.308	6	737	321	4.15e-104
30419_0:002e3c	228	67.544	3	739	322	4.68e-104
1463973_0:001b62	268	61.194	4	739	322	5.20e-104
8969_0:00045f	248	64.113	13	733	320	5.42e-104
227184_0:001d04	227	68.282	2	734	320	5.99e-104
57412_0:0017a5	211	72.038	3	736	321	6.50e-104
134920_0:0014ef	258	59.302	10	740	323	7.24e-104
156563_0:0025c1	249	65.060	2	736	321	9.41e-104
225398_0:00142c	228	67.982	3	731	319	9.95e-104
75743_0:00320f	256	63.281	10	739	322	1.08e-103
80966_0:004d55	268	58.209	14	737	321	1.18e-103
2585815_0:00027b	199	72.362	1	730	318	1.19e-103
667144_0:002249	219	68.493	1	730	318	1.23e-103
161450_0:004af9	262	59.924	14	738	322	1.25e-103
54508_0:001094	228	68.421	4	733	320	1.27e-103
7830_0:0033bd	256	62.891	10	739	322	1.28e-103
31033_0:00046b	255	60.392	12	734	320	1.54e-103
161453_0:000c34	254	60.630	10	736	321	1.81e-103
219545_0:001777	255	60.000	12	734	320	1.97e-103
8947_0:002b16	202	75.248	1	736	321	2.23e-103
8208_0:001b6a	260	59.231	14	736	321	3.50e-103
